parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec
beta.1,0.8196480729403655,0.7480112082399375,0.007518717685074418,9840.446911674362,10689.69844767423,1.0000125523978642,
beta.2,0.7893799974172796,0.06067731121700287,0.00036771987412376086,27250.463211415405,43478.17720171748,1.000060527797852,
beta.3,-1.0815042145272251,0.29132312181093717,0.002411857963880779,14606.015652600034,20782.457543218836,1.0000008654066117,
beta.4,-0.4551010597785618,0.2906835706697298,0.0028813462780128735,10238.303276752998,11164.774253214287,1.000016230109517,
beta.5,-0.7222129229224767,0.29485196111406303,0.0029585191787896395,10020.352098839863,11453.474709664371,1.0000992071848933,
beta.6,-0.4856202038557512,0.32615127069946825,0.003258545526260602,10148.983332082955,11697.834730490425,1.0000949992951698,
beta.7,0.24476926895156123,0.10606306865002406,0.0007088187356160934,22367.272874614642,33974.12298626843,0.9999997108799846,
beta.8,-0.09544596749576019,0.17112076650007177,0.0011959960803131918,20475.155608495093,28416.895184107667,1.0000282055811207,
beta.9,0.2350121310520236,0.08692374414913161,0.0005291350063164137,26997.92933077131,40412.103566641614,1.0000492369524903,
sigma,1.7866360938593275,0.05867037773526555,0.0002420410361640566,58798.47526923755,72305.58783986323,0.9999926646710353,
