round,n_scans,n_tempered_restarts,global_barrier,global_barrier_variational,last_round_max_time,last_round_max_allocation,stepping_stone
1,2,0,9.094947017729282e-13,,1.757903779,3.2407568e7,-5.684341886080802e-14
2,4,0,6.821210263296962e-13,,1.230696642,98944.0,2.842170943040401e-14
3,8,0,5.968558980384842e-13,,2.384405233,194224.0,-8.526512829121202e-14
4,16,0,4.689582056016661e-13,,4.664785102,410880.0,-2.220446049250313e-16
5,32,7,7.318590178329032e-13,,8.695872147,651616.0,7.327471962526033e-15
6,64,23,5.186961971048731e-13,,17.133649854,838592.0,1.021405182655144e-14
7,128,55,5.736522368238184e-13,,33.118482867,1.097664e6,-1.3322676295501878e-14
8,256,119,5.74429392941056e-13,,64.400011139,1.651648e6,1.2434497875801753e-14
9,512,247,6.70463684571132e-13,,131.493046988,2.652096e6,1.7763568394002505e-15
10,1024,503,6.749045766696327e-13,,261.54875141,4.859392e6,2.9753977059954195e-14
11,2048,1015,6.896705428971472e-13,,529.161764593,8.869824e6,-4.440892098500626e-16
12,4096,2039,6.905587213168474e-13,,1001.702558723,1.7678528e7,-8.881784197001252e-16
13,8192,732,1.811583522130726,,1044.957507327,1.3268382232e10,-957.0522422255845
14,16384,2216,2.0515532859564773,,2125.101471784,2.6926005792e10,-957.1404723006592
